Transaction_ID,Timestamp,Sender_Name,Sender_UPI_ID,Sender_Account_Age_Days,Receiver_Name,Receiver_UPI_ID,Amount_INR,Device_ID,Location,Transaction_Type,Status,Is_Fraud,Fraud_Type
4a6763bf-a94b-4bc8-955f-b9667b45bdba,2024-06-01 00:06:01,Chanakya Konda,4909951947@okpaytm,975,Harshil Arora,2721355673@okicici,26102.19,DEV53332,Ahmedabad,P2M,FAILED,1,odd_hour_high_amount
978a48ce-b08b-47c0-8adb-6d3d28edb301,2024-06-01 00:07:12,Brinda Kashyap,1278627610@oksbi,2100,Osha Prasad,2314754322@okaxis,1025.62,DEV94550,Kolkata,P2M,SUCCESS,0,none
68876226-18a0-4518-a252-da538c75a453,2024-06-01 00:07:28,David Devi,2864876473@okaxis,856,Ishwar Kamdar,1754368373@okicici,947.89,DEV53397,Delhi,P2P,SUCCESS,0,none
92d1f913-56db-4509-acb4-a2e105721d02,2024-06-01 00:21:08,Kamya Chauhan,6244291385@okybl,2064,Kevin Gokhale,5999961449@okhdfcbank,37495.45,DEV70694,Kolkata,P2P,SUCCESS,1,odd_hour_high_amount
041b167e-3b2d-450e-92d7-a5d0f0dcc526,2024-06-01 00:33:13,Nimrat Zachariah,4251624056@okpaytm,2191,Farhan Bhalla,2092158809@oksbi,1767.02,DEV69372,Bengaluru,P2M,FAILED,0,none
e561f886-a6f7-4f02-8321-bb51e9682c17,2024-06-01 00:34:29,Fitan Balasubramanian,7384985150@okybl,210,Ayush Hora,5314945131@okicici,1123.93,DEV84427,Jaipur,P2M,SUCCESS,0,none
07341db2-6667-4e60-af9a-e8608f3da35c,2024-06-01 01:04:36,Widisha Pillai,2960730480@okhdfcbank,1251,Aryan Maharaj,3746317213@okaxis,4903.71,DEV27290,Pune,P2P,SUCCESS,0,none
df056c2b-3125-422b-8045-321a02335987,2024-06-01 01:04:41,Aarav Sankar,1973627242@oksbi,1071,Nidhi Kala,3907299954@okybl,2477.22,DEV73748,Pune,P2M,SUCCESS,0,none
7ccbe28d-d7a6-4ba3-9140-ad9f9196b0f1,2024-06-01 01:08:10,Qadim Comar,8843676736@ybl,2038,Triya Kumar,3412365931@okybl,774.71,DEV49834,Lucknow,P2M,SUCCESS,0,none
af4366f7-46f4-47f7-a129-697f3cb40547,2024-06-01 01:20:09,Dev Ganesh,3846182436@ybl,694,Aarnav Mandal,3469810046@okpaytm,351.78,DEV99674,Lucknow,P2M,SUCCESS,0,none
f0f88c22-08e5-4192-8efa-8b914fd3238a,2024-06-01 01:40:53,Anamika Sachar,9576178517@oksbi,874,Guneet Hora,4998892039@okhdfcbank,1193.77,DEV76924,Jaipur,P2M,SUCCESS,0,none
7183d527-f7b9-4b1c-8c1d-7ef260c87301,2024-06-01 01:51:34,Daniel Viswanathan,4471642620@oksbi,1575,Vanya Dua,7032706313@okpaytm,666.44,DEV13312,Delhi,P2M,SUCCESS,0,none
52f3a7b4-430b-4133-8f46-f4c7036e3ba9,2024-06-01 02:15:55,Hemani Khosla,2017675569@ybl,1768,Daniel Panchal,8606102365@oksbi,1757.71,DEV55957,Lucknow,P2P,SUCCESS,0,none
d8b6b03e-95fe-48ef-81b3-556e165a9bd8,2024-06-01 02:16:30,Anirudh Patla,6223395333@okpaytm,2156,Anvi Swaminathan,5374951767@oksbi,825.61,DEV93203,Mumbai,P2M,SUCCESS,0,none
07d337ec-caa2-4cae-9666-b637fcbe3b16,2024-06-01 02:21:02,Amol Vasa,4265568728@ybl,1577,Indira Misra,4102872611@okhdfcbank,811.26,DEV12596,Ahmedabad,P2M,SUCCESS,0,none
0d9c09ae-d403-4be2-bce4-b55fd86f2be5,2024-06-01 02:43:08,Peter Shah,4046074294@okaxis,179,Jhalak Dugar,5862714930@okaxis,2531.87,DEV47342,Pune,P2M,SUCCESS,0,none
305c548e-53d2-453a-acfc-647f0b714c54,2024-06-01 02:44:13,Pavani Contractor,3587283948@ybl,2038,Daksha Baria,9755342261@okaxis,1336.54,DEV33218,Delhi,P2M,SUCCESS,0,none
f1503403-edc6-4fe0-8b79-f17594b123fd,2024-06-01 02:57:29,Anirudh Mander,2248867120@okhdfcbank,2117,Tanvi Comar,5270048042@okpaytm,663.9,DEV73714,Kolkata,P2M,SUCCESS,0,none
65eabdd0-480e-4649-b058-cad3e9c597aa,2024-06-01 03:38:38,Onkar Golla,1186047172@okpaytm,735,Patrick Vig,2201474778@okpaytm,1330.96,DEV80432,Mumbai,P2P,SUCCESS,0,none
4155089c-396d-4887-a420-c2a42f91deb1,2024-06-01 03:58:15,Tanvi Thaman,7844674517@ybl,1963,Nidhi Sethi,1486068287@ybl,1788.08,DEV56674,Kolkata,P2P,SUCCESS,0,none
c7023e2a-b66c-40e2-999c-d76d348b89f6,2024-06-01 04:14:08,Shravya Bera,7651029165@okicici,1420,Sachi Bose,6977525103@okpaytm,1304.12,DEV71780,Hyderabad,P2M,SUCCESS,0,none
98a34c7c-6f5e-426d-9e4b-eb98127b7b80,2024-06-01 04:30:50,Yashoda Rattan,1361983810@oksbi,531,Pahal Khatri,6901746164@oksbi,678.61,DEV61117,Pune,P2P,SUCCESS,0,none
